Timestamp,"For each of these R packages, which one describes you best? [dplyr]","For each of these R packages, which one describes you best? [DBI]","For each of these R packages, which one describes you best? [sparklyr]","For each of these R packages, which one describes you best? [odbc]","For each of these R packages, which one describes you best? [purrr]","For each of these R packages, which one describes you best? [shiny]","For each of these R packages, which one describes you best? [RMarkdown]","For each of these R packages, which one describes you best? [shinydashboards]","For each of these R packages, which one describes you best? [flexdashboards]","For each of these R packages, which one describes you best? [ggplot2]","For each of these R packages, which one describes you best? [RODBC]","For each of these R packages, which one describes you best? [RJDBC]","For each of these R packages, which one describes you best? [sparkR]","For each of these R packages, which one describes you best? [rhdfs and/or rmr2]","Regarding SQL and Spark experience, which one describes you best? [Simple SQL queries]","Regarding SQL and Spark experience, which one describes you best? [Complex SQL SELECT queries ]","Regarding SQL and Spark experience, which one describes you best? [Update and insert new records into tables]","Regarding SQL and Spark experience, which one describes you best? [Create new tables and views]","Regarding SQL and Spark experience, which one describes you best? [Write stored-procedures/ programs]","Regarding SQL and Spark experience, which one describes you best? [Build a new database]","Regarding SQL and Spark experience, which one describes you best? [Build a new server]","Regarding SQL and Spark experience, which one describes you best? [Connect to a database using ODBC/JDBC]","Regarding SQL and Spark experience, which one describes you best? [Connect to Spark]","Regarding SQL and Spark experience, which one describes you best? [Run Spark jobs]","Regarding SQL and Spark experience, which one describes you best? [Write Spark jobs (Scala, python, etc)]","Regarding SQL and Spark experience, which one describes you best? [Build a Hadoop cluster]",Which one describes your proficiency in R?,"Which databases do you access at work today, or plan to access soon?",What is the status of your data lake?,Which kinds of clusters do you have access to at work?,"If you have access to a  Hadoop cluster, who is the provider?","If you have access to a cluster,  where is it hosted?"
1/2/2018 13:37:04,I use it most days,I use it occasionally,I use it occasionally,I use it occasionally,I don't use it,I use it most days,I use it most days,I use it occasionally,I use it occasionally,I use it most days,I use it occasionally,I don't use it,I don't use it,I don't use it,"Anytime, anywhere!",I do that very often,I do that on occasion,I do that on occasion,I do that on occasion,I've done it once or twice,I've done it once or twice,I do that very often,I do that on occasion,I do that on occasion,I've done it once or twice,I've done it once or twice,Enough to stop being dangerous,"Microsoft SQL Server, Oracle, Hive / Impala, PostgreSQL",None of these apply to my case,Hadoop with Spark,Cloudera,Inside my company's network (on premise)
1/2/2018 13:37:34,I don't use it,I can't live without it,I don't use it,I can't live without it,I don't use it,I use it occasionally,I use it occasionally,I don't use it,I don't use it,I use it occasionally,I don't use it,I don't use it,I don't use it,I don't use it,"Anytime, anywhere!","Anytime, anywhere!",I do that on occasion,I do that very often,I've done it once or twice,I've done it once or twice,I do that on occasion,I do that very often,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,Enough to write an R package for my company's use,Microsoft SQL Server,"Not even close - We've had some conversations about it, but nothing has been done yet",Hadoop without Spark,Hortonworks,Inside my company's network (on premise)
1/2/2018 13:39:09,I'm the one that folks come to for help,I can't live without it,I don't use it,I can't live without it,I can't live without it,I use it occasionally,I use it most days,I use it occasionally,I use it occasionally,I'm the one that folks come to for help,I use it occasionally,I don't use it,I don't use it,I don't use it,I do that very often,I do that very often,I do that on occasion,I do that on occasion,I've done it once or twice,I've done it once or twice,I'm not sure what this is,I do that very often,I've done it once or twice,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,Enough to write an R package for my company's use,Microsoft SQL Server,"Not even close - We've had some conversations about it, but nothing has been done yet",Spark standalone,,Inside my company's network (on premise)
1/2/2018 13:40:36,I use it most days,I don't use it,I don't use it,I don't use it,I don't use it,I'm the one that folks come to for help,I use it occasionally,I use it most days,I don't use it,I'm the one that folks come to for help,I don't use it,I don't use it,I don't use it,I don't use it,I've done it once or twice,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,Enough to write an R package for my company's use,"Hive / Impala, Other","Silo - There's a Data Lake somewhere in the company, but we have no access",Hadoop with Spark,Other,Inside my company's network (on premise)
1/2/2018 13:42:14,I'm the one that folks come to for help,I use it occasionally,I don't use it,I use it occasionally,I'm the one that folks come to for help,I can't live without it,I'm the one that folks come to for help,I use it occasionally,I use it occasionally,I'm the one that folks come to for help,I use it occasionally,I use it occasionally,I don't use it,I don't use it,I do that on occasion,I do that on occasion,I've done it once or twice,I've done it once or twice,I've done it once or twice,I've done it once or twice,I've done it once or twice,I do that on occasion,I've done it once or twice,I've done it once or twice,I'm not sure what this is,I'm not sure what this is,Enough to publish an R package on CRAN,"Microsoft SQL Server, PostgreSQL","Silo - There's a Data Lake somewhere in the company, but we have no access",None,,On the cloud in Azure
1/2/2018 13:47:12,I can't live without it,I don't use it,I don't use it,I don't use it,I don't use it,I don't use it,I use it occasionally,I don't use it,I don't use it,I can't live without it,I don't use it,I don't use it,I don't use it,I don't use it,I've done it once or twice,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,Enough to make me dangerous,None yet,None of these apply to my case,Hadoop with Spark,Other,Inside my company's network (on premise)
1/2/2018 13:52:53,I use it most days,I use it occasionally,I don't use it,I don't use it,I don't use it,I don't use it,I don't use it,I don't use it,I don't use it,I use it most days,I don't use it,I don't use it,I don't use it,I don't use it,I do that very often,I do that very often,I do that on occasion,I do that on occasion,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,Enough to make me dangerous,"Microsoft SQL Server, Oracle",,None,,
1/2/2018 14:10:03,I can't live without it,I don't use it,I don't use it,I use it occasionally,I use it most days,I use it occasionally,I can't live without it,I don't use it,I don't use it,I can't live without it,I use it occasionally,I use it most days,I don't use it,I don't use it,"Anytime, anywhere!",I do that very often,I do that on occasion,I do that on occasion,I do that on occasion,I've done it once or twice,I've done it once or twice,"Anytime, anywhere!",I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,Enough to help the guy that knows enough to be dangerous,"Microsoft SQL Server, Redshift, Other","On the road map - We'll have one soon, hopefully",None,,
1/2/2018 14:12:15,I can't live without it,I use it most days,I don't use it,I use it occasionally,I use it occasionally,I'm the one that folks come to for help,I use it most days,I'm the one that folks come to for help,I use it most days,I use it most days,I use it most days,I use it most days,I don't use it,I don't use it,"Anytime, anywhere!",I do that very often,I do that very often,I do that very often,I'm not sure what this is,I do that on occasion,I do that on occasion,I do that very often,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,Enough to write an R package for my company's use,"Microsoft SQL Server, Oracle, Other",Fully mature - We use it for everything,None,Cloudera,Inside my company's network (on premise)
1/2/2018 14:23:32,I use it most days,I don't use it,I don't use it,I can't live without it,I can't live without it,I can't live without it,I can't live without it,I don't use it,I don't use it,I can't live without it,I can't live without it,I don't use it,I don't use it,I don't use it,"Anytime, anywhere!","Anytime, anywhere!","Anytime, anywhere!","Anytime, anywhere!","Anytime, anywhere!","Anytime, anywhere!",I do that very often,"Anytime, anywhere!",I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,Enough to write an R package for my company's use,"Microsoft SQL Server, Oracle, PostgreSQL, Other",Fully mature - We use it for everything,Other,,Inside my company's network (on premise)
1/2/2018 14:29:33,I can't live without it,I use it occasionally,I don't use it,I don't use it,I use it occasionally,I'm the one that folks come to for help,I'm the one that folks come to for help,I can't live without it,I use it occasionally,I'm the one that folks come to for help,I don't use it,I don't use it,I don't use it,I don't use it,I do that on occasion,I do that on occasion,I've done it once or twice,I've done it once or twice,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,Enough to write an R package for my company's use,PostgreSQL,Mature - We use it for a lot of things,Other,,On the cloud in Google Cloud
1/2/2018 14:37:43,I use it most days,I don't use it,I don't use it,I don't use it,I don't use it,I don't use it,I don't use it,I don't use it,I don't use it,I use it occasionally,I can't live without it,I can't live without it,I don't use it,I don't use it,"Anytime, anywhere!","Anytime, anywhere!",I do that very often,I do that very often,I'm not sure what this is,I've done it once or twice,I'm not sure what this is,I do that very often,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,Enough to help the guy that knows enough to be dangerous,Other,"Silo - There's a Data Lake somewhere in the company, but we have no access",None,,
1/2/2018 14:42:10,I'm the one that folks come to for help,I don't use it,I use it occasionally,I don't use it,I can't live without it,I use it occasionally,I'm the one that folks come to for help,I use it occasionally,I don't use it,I'm the one that folks come to for help,I don't use it,I don't use it,I don't use it,I don't use it,"Anytime, anywhere!",I do that very often,I've done it once or twice,I do that on occasion,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I've done it once or twice,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,Enough to write an R package for my company's use,"Microsoft SQL Server, Oracle, Other",Getting there - It's used for certain operations,None,,
1/2/2018 14:58:20,I use it most days,I don't use it,I don't use it,I don't use it,I use it occasionally,I use it most days,I use it occasionally,I use it occasionally,I use it occasionally,I use it most days,I don't use it,I don't use it,I don't use it,I don't use it,I do that very often,I do that on occasion,I've done it once or twice,I do that very often,I've done it once or twice,I'm not sure what this is,I'm not sure what this is,I've done it once or twice,I've done it once or twice,I've done it once or twice,I've done it once or twice,I'm not sure what this is,Enough to stop being dangerous,Hive / Impala,,Hadoop with Spark,MapR,Inside my company's network (on premise)
1/2/2018 14:58:25,I use it most days,I don't use it,I don't use it,I don't use it,I use it occasionally,I use it most days,I use it occasionally,I use it occasionally,I use it occasionally,I use it most days,I don't use it,I don't use it,I don't use it,I don't use it,I do that very often,I do that on occasion,I've done it once or twice,I do that very often,I've done it once or twice,I'm not sure what this is,I'm not sure what this is,I've done it once or twice,I've done it once or twice,I've done it once or twice,I've done it once or twice,I'm not sure what this is,Enough to stop being dangerous,Hive / Impala,,Hadoop with Spark,MapR,Inside my company's network (on premise)
1/2/2018 15:16:01,I can't live without it,I use it occasionally,I don't use it,I don't use it,I can't live without it,I use it occasionally,I can't live without it,I don't use it,I don't use it,I'm the one that folks come to for help,I use it occasionally,I use it occasionally,I don't use it,I don't use it,"Anytime, anywhere!",I do that on occasion,I do that on occasion,I do that on occasion,I'm not sure what this is,I've done it once or twice,I'm not sure what this is,I've done it once or twice,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,Enough to publish an R package on CRAN,"Oracle, Hive / Impala, PostgreSQL",Getting there - It's used for certain operations,Hadoop with Spark,Hortonworks,Inside my company's network (on premise)
1/2/2018 15:36:36,I use it occasionally,I don't use it,I use it most days,I use it most days,I don't use it,I use it occasionally,I use it occasionally,I don't use it,I don't use it,I can't live without it,I use it most days,I use it most days,I use it occasionally,I don't use it,"Anytime, anywhere!","Anytime, anywhere!","Anytime, anywhere!","Anytime, anywhere!",I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I do that very often,I do that on occasion,I do that on occasion,I do that on occasion,I've done it once or twice,Enough to stop being dangerous,Hive / Impala,Fully mature - We use it for everything,Hadoop with Spark,Cloudera,On the cloud in AWS
1/2/2018 16:03:19,I can't live without it,I don't use it,I don't use it,I don't use it,I use it most days,I use it occasionally,I use it most days,I use it occasionally,I use it occasionally,I can't live without it,I don't use it,I don't use it,I don't use it,I don't use it,I've done it once or twice,I've done it once or twice,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,Enough to help the guy that knows enough to be dangerous,None yet,None of these apply to my case,Other,Other,Inside my company's network (on premise)
1/2/2018 16:16:44,I can't live without it,I don't use it,I don't use it,I don't use it,I can't live without it,I use it most days,I can't live without it,I use it most days,I use it most days,I can't live without it,I don't use it,I don't use it,I don't use it,I don't use it,I do that on occasion,I've done it once or twice,I do that on occasion,I do that on occasion,I've done it once or twice,I've done it once or twice,I've done it once or twice,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,Enough to publish an R package on CRAN,None yet,None of these apply to my case,None,,
1/2/2018 17:56:47,I don't use it,I don't use it,I don't use it,I don't use it,I don't use it,I don't use it,I can't live without it,I don't use it,I don't use it,I use it occasionally,I don't use it,I don't use it,I don't use it,I don't use it,I do that on occasion,I've done it once or twice,I've done it once or twice,I've done it once or twice,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,Enough to write an R package for my company's use,None yet,None of these apply to my case,None,Other,Inside my company's network (on premise)
