labels,estimate,type,field_1,field_2,qr_1,qr_2,qr_3,qr_4,qr_5,vals
(Intercept),-3.652840133966064,term,NA,NA,-0.011785113019775792,-0.006804138174397893,-0.00962250448649352,0.016666666666666555,0.001682072847906081,NA
seasonSpring,1.7981751639210777,term,NA,Spring,-0,0.027216552697590872,0.009622504486491823,-0.016666666666665258,0.001746056370534863,NA
seasonSummmer,2.3534225131320556,term,NA,Summmer,-0,-0,0.028867513459481273,-0.016666666666665827,0.0020569160753553506,NA
seasonWinter,3.1090000742540704,term,NA,Winter,0,0,0,-0.033333333333333354,0.003204379610693809,NA
depdelay,1.0065435656667816,term,{{:}},NA,-0,-0,-0,-0,-3.46898616662581e-4,NA
labels,0,variable,depdelay,season,NA,NA,NA,NA,NA,NA
model,NA,variable,NA,NA,NA,NA,NA,NA,NA,lm
version,NA,variable,NA,NA,NA,NA,NA,NA,NA,1.0
residual,NA,variable,NA,NA,NA,NA,NA,NA,NA,7195
sigma2,NA,variable,NA,NA,NA,NA,NA,NA,NA,193.452661005027
