labels,estimate,type,field_1,field_2,qr_1,qr_2,qr_3,qr_4,qr_5,vals
(Intercept),-3.7260457606422763,term,NA,NA,-0.011785113019775792,-0.006804138174397893,-0.00962250448649352,0.016666666666666555,0.0015580336047367577,NA
seasonSpring,1.7221849052507028,term,NA,Spring,-0,0.027216552697590872,0.009622504486491823,-0.016666666666665258,0.0016172988610120463,NA
seasonSummmer,2.7035572454503716,term,NA,Summmer,-0,-0,0.028867513459481273,-0.016666666666665827,0.002116590794152434,NA
seasonWinter,3.088837260044007,term,NA,Winter,0,0,0,-0.033333333333333354,0.003151769171085169,NA
depdelay,1.021640968051757,term,{{:}},NA,-0,-0,-0,-0,-3.2131765450574236e-4,NA
labels,0,variable,depdelay,season,NA,NA,NA,NA,NA,NA
model,NA,variable,NA,NA,NA,NA,NA,NA,NA,lm
version,NA,variable,NA,NA,NA,NA,NA,NA,NA,1.0
residual,NA,variable,NA,NA,NA,NA,NA,NA,NA,7195
sigma2,NA,variable,NA,NA,NA,NA,NA,NA,NA,215.44734626341
